class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched_roundshoulder,43.60518089210482,93.4622768485475,89.33854649468663,90.70296238613236,89.76572701594672,0.3914445,0.4648214,0.51900846,0.3540344,0.47279707,0.5830237,0.3583474,0.46872917,0.61104906,0.33061147,0.5271668,0.5553677,0.33809274,0.5191796,0.6341736,0.4214488,0.61437243,0.64359367,0.47187525,0.53446454,0.70824564,0.6582061,0.5477256,0.63551986,0.61827,0.5181428,0.29483446,0.6161754,0.40476355,0.6144869,0.60579765,0.41028127,0.38224798,0.8913939,0.62512654,0.5019653,0.8476269,0.5685411,0.41073352,0.9091849,0.41206422,0.32170197,0.8645673,0.40418893,0.36076364,0.9071522,0.47686085,0.0496305,0.8270197,0.5212968,0.075612165
hunched_roundshoulder,46.16720068632355,92.8850439014114,88.9706110342872,92.23603932647677,94.7743457154521,0.39280456,0.46400806,0.4560757,0.35381287,0.47090444,0.6339495,0.35794792,0.46787795,0.6287184,0.3336223,0.5242713,0.541714,0.33544505,0.5187583,0.62093383,0.41904914,0.61399955,0.639605,0.47141922,0.5351027,0.7346618,0.65775734,0.5489906,0.584106,0.6118619,0.5148999,0.29491967,0.615696,0.40481263,0.6570961,0.60562915,0.41034698,0.35388824,0.89021146,0.62533087,0.5231075,0.8486141,0.56701005,0.40543666,0.9065865,0.4056376,0.32707092,0.8688785,0.4036493,0.3729715,0.9280202,0.4614733,0.06361681,0.90524685,0.49355838,0.068947695
hunched_roundshoulder,46.747093195742245,93.8794374822952,89.18580297427762,94.63671421595285,106.17293104486106,0.39119458,0.46391973,0.484498,0.35270748,0.4709983,0.6419254,0.35737658,0.46791455,0.6405376,0.3339888,0.5252987,0.5497186,0.33653268,0.51910686,0.6323267,0.4174691,0.61478806,0.63228476,0.46948946,0.5335197,0.7027286,0.6575247,0.54972845,0.5804415,0.596681,0.5043938,0.34586743,0.6162025,0.40541324,0.6329005,0.6022302,0.407418,0.38731104,0.88406384,0.62592006,0.60900533,0.8425592,0.5667463,0.44170192,0.90419126,0.40671206,0.42010123,0.870361,0.404546,0.36391103,0.90479416,0.4768748,0.053296372,0.9015746,0.4819109,0.07796439
hunched_roundshoulder,46.012684182990306,90.12220506138453,87.96075390512247,92.18593305872554,103.98183367987764,0.39282417,0.46430358,0.46871096,0.35393605,0.47154865,0.6141511,0.35857165,0.46816072,0.6124092,0.3317854,0.52457744,0.56400466,0.33482355,0.5185484,0.6070342,0.4171272,0.61373115,0.63683105,0.47006747,0.53484744,0.71793854,0.6596591,0.5504111,0.56187993,0.6013891,0.5021744,0.32098514,0.6156119,0.4033272,0.6544121,0.6014062,0.4063456,0.35214084,0.90136117,0.6257087,0.56598914,0.84849226,0.56615245,0.38706216,0.9073304,0.40355158,0.43996504,0.86823106,0.40339547,0.35527393,0.92989796,0.46295062,0.07142167,0.9069971,0.48054487,0.10146157
hunched_roundshoulder,45.1222451357502,90.01893260113394,88.64676444498022,87.35873784395403,105.99143925823549,0.3898027,0.46374494,0.47552946,0.35150886,0.4711546,0.63480484,0.35634953,0.46746382,0.64258724,0.32967123,0.5241648,0.55489767,0.33351308,0.5173461,0.6034009,0.41687387,0.61245906,0.65199256,0.46903193,0.53371423,0.7205863,0.65789163,0.5491836,0.5908076,0.6001811,0.49888936,0.32322046,0.6154009,0.4016171,0.6522779,0.60201836,0.4049545,0.35413408,0.9028071,0.6265393,0.545439,0.86399734,0.5677765,0.40586245,0.9092593,0.40637627,0.40300667,0.87057036,0.40324935,0.35774833,0.9294111,0.4616393,0.06451044,0.9084681,0.47990963,0.07463608
hunched_roundshoulder,46.92423653152989,93.23712649274717,88.4129192583665,93.81900396851893,101.93383196572951,0.39221546,0.46243912,0.45712054,0.35345337,0.46997267,0.6379646,0.35850734,0.46658254,0.5933975,0.33197436,0.524401,0.56314725,0.3356524,0.5173365,0.6344334,0.41376406,0.61262614,0.63292956,0.46992394,0.53224033,0.7007859,0.65689045,0.5486774,0.5654093,0.60518426,0.49985623,0.32665235,0.614916,0.40535536,0.6373046,0.6026981,0.40680668,0.35436025,0.8878782,0.627249,0.5977435,0.8456739,0.56596416,0.43224537,0.9072923,0.40550962,0.43351585,0.8712177,0.4037265,0.37640068,0.9278188,0.46329466,0.062237184,0.90641445,0.48174644,0.080651164
hunched_roundshoulder,47.3055312049743,88.28292026789364,87.97201005687467,86.22943436658414,107.98323170323792,0.39411712,0.46230802,0.4400579,0.35447893,0.46912113,0.59448594,0.3588354,0.4664052,0.5510315,0.3335299,0.5244833,0.5248027,0.33583233,0.5183641,0.61330867,0.41406006,0.6125238,0.58505124,0.47254366,0.5354909,0.6951414,0.65952045,0.5495665,0.5601942,0.5989056,0.49783897,0.3300196,0.6157016,0.4008122,0.6394144,0.601157,0.40510973,0.35669434,0.90857667,0.62631434,0.5651739,0.86575073,0.5753858,0.3721812,0.9081177,0.406597,0.41345912,0.87175715,0.4053301,0.3454753,0.93034506,0.46193156,0.07312905,0.90774846,0.47952756,0.08310434
hunched_roundshoulder,45.26312926053064,93.7095843380153,88.61097425372935,88.75051183074919,105.98679472959986,0.39480472,0.46286297,0.47051585,0.35403514,0.46949658,0.60604584,0.35850716,0.46615967,0.54218113,0.33117476,0.52448374,0.56811696,0.33501753,0.51724565,0.6328551,0.41376293,0.6085202,0.5999702,0.46946687,0.5347592,0.70528454,0.6572113,0.54956955,0.59328365,0.5995382,0.50035346,0.29814032,0.6172919,0.4005998,0.64959586,0.6014844,0.4051043,0.38220215,0.89038455,0.6247266,0.5075627,0.86048603,0.5757377,0.39387983,0.91147864,0.41177565,0.3082924,0.8745543,0.40582857,0.36178264,0.90804803,0.47408515,0.054105528,0.8330659,0.5311343,0.07438064
hunched_roundshoulder,45.961391293931634,91.03865252346014,87.85341748231573,89.18972031513772,108.81820866889365,0.3882917,0.4621482,0.46980003,0.35170484,0.4691442,0.6709717,0.3564059,0.46614084,0.61013,0.33127248,0.5242502,0.5547124,0.3345538,0.51796436,0.6349237,0.41381782,0.61032736,0.6051066,0.46690792,0.53470314,0.7108342,0.65840095,0.5480965,0.6173151,0.59544754,0.4966463,0.35163823,0.61577785,0.40347892,0.62946045,0.5990935,0.40687543,0.37852535,0.8903031,0.6243183,0.53388536,0.8608965,0.5742743,0.40563264,0.90036523,0.41256317,0.33941844,0.8752855,0.40729433,0.38741755,0.9283804,0.47326595,0.05965181,0.83550906,0.52911067,0.07917808
hunched_roundshoulder,48.188996257628055,93.86012170732238,90.76662976710956,94.4380376733755,109.56597777922664,0.38908884,0.46238548,0.49633256,0.3520062,0.46952572,0.69734126,0.3564012,0.46709296,0.6486341,0.33332437,0.52287686,0.5479777,0.33560127,0.5180077,0.6692161,0.41037506,0.6097804,0.66350895,0.4662919,0.52746075,0.6956557,0.65015537,0.5500336,0.6427095,0.59450483,0.49580404,0.38432524,0.61688185,0.40844926,0.5548176,0.60278356,0.41281262,0.37087995,0.8847047,0.62883323,0.542233,0.84353465,0.56281245,0.5457611,0.9083595,0.40967375,0.24433523,0.87089443,0.4042782,0.3693906,0.90288234,0.52167386,0.053439036,0.9048008,0.48355412,0.07337336
